stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
205,10205,ARITMA DEPOLAMA ALANI 1,,40.7067794228,29.9820952448,,,0,,Europe/Istanbul,0
206,10206,PAŞADAĞ 1,,40.7136891254,29.9855946653,,,0,,Europe/Istanbul,0
207,10207,SEYİT ALİ,,40.7176953966,29.9867398109,,,0,,Europe/Istanbul,0
208,10208,DÖRTYOL AYAZ,,40.7170863617266,29.9837547540665,,,0,,Europe/Istanbul,0
209,10209,ÇOBANOĞLU,,40.7194377671,29.9841607994,,,0,,Europe/Istanbul,0
210,10210,CANDUR,,40.7186558586,29.9809503252,,,0,,Europe/Istanbul,0
211,10211,ARITMA YOLU 2,,40.71815,29.9792,,,0,,Europe/Istanbul,0
212,10212,KARTONSAN İLKOKULU,,40.7194160881,29.985530916,,,0,,Europe/Istanbul,0
213,70035,ÜÇEVLER ÜST GEÇİDİ,,40.7056649579074,29.8686037171793,,,0,,Europe/Istanbul,0
214,10214,KULLAR DÖRTYOL 1,,40.7239046800485,29.9875447154045,,,0,,Europe/Istanbul,0
215,10215,HACI MAHMUT AĞA,,40.7232801921,29.9913907139,,,0,,Europe/Istanbul,0
216,10216,BEYDA CAMİİ,,40.7045643693107,29.9984988570213,,,0,,Europe/Istanbul,0
217,10217,BEYZA,,40.702699832,29.9989130022,,,0,,Europe/Istanbul,0
218,10218,DOĞANTEPE CAMİİ 2,,40.6995703103263,29.9979248642921,,,0,,Europe/Istanbul,0
219,10219,LEYLA,,40.6993669612136,29.9994215369225,,,0,,Europe/Istanbul,0
221,10221,İSTİKLAL CADDESİ 01,,40.68989,30.004452,,,0,,Europe/Istanbul,0
222,70274,DEĞİRMENDERE DÖRTYOL,,40.717712,29.78202,,,0,,Europe/Istanbul,0
223,10223,MEVLANA 1,,40.688236,30.005184,,,0,,Europe/Istanbul,0
224,80381,SANAYİ BATI GİRİŞ,,40.7463758292,29.9462713387,,,0,,Europe/Istanbul,0
225,10225,DOĞANTEPE SON DURAK,,40.6874695048,29.9984130372,,,0,,Europe/Istanbul,0
226,10226,AZİZAĞA CAMİİ,,40.6881976572,29.9941612417,,,0,,Europe/Istanbul,0
227,10227,SELİM,,40.6962922994,29.9947795651,,,0,,Europe/Istanbul,0
228,10228,DOĞANTEPE SON DURAK 1,,40.6875492791026,29.9988341331482,,,0,,Europe/Istanbul,0
